Title: Spider-Man: Brand New Day (2026) | Rating: 7.9 | Genres: Sci-Fi, Action, Adventure | Poster: https://image.tmdb.org/t/p/w500/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg | DirectM3U8: https://movie.streamrip.fun/movies/969681/video_main.m3u8
Title: The Odyssey (2026) | Rating: 8.0 | Genres: Adventure, Action, Fantasy | Poster: https://image.tmdb.org/t/p/w500/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1368337/video_main.m3u8
Title: Mutiny (2026) | Rating: 6.4 | Genres: Action, Thriller | Poster: https://image.tmdb.org/t/p/w500/pu2VxGlpGwffOx292w18b1tv96j.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1288445/video_main.m3u8
Title: The Last Sunrise (2026) | Rating: 6.7 | Genres: Romance, Drama | Poster: https://image.tmdb.org/t/p/w500/3PWJqDfygN0YNNjWsDUOXclCp3h.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1516698/video_main.m3u8
Title: Grand Theft Auto VI: An Extended Look (2026) | Rating: 8.9 | Genres: Animation, Action, Adventure, Crime | Poster: https://image.tmdb.org/t/p/w500/xTZuh9ziUjIyHBWO9OvqNIPqVWe.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1744462/video_main.m3u8
Title: Facing El Chapo (2026) | Rating: 8.9 | Genres: Crime, Action, Thriller | Poster: https://image.tmdb.org/t/p/w500/z8eF0ACFFKtIZ4pUeo02PCzxRVO.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1621552/video_main.m3u8
Title: Toxic: A Fairy Tale for Grown-ups (2026) | Rating: 7.3 | Genres: Action, Crime, Drama | Poster: https://image.tmdb.org/t/p/w500/oiIPU4lvnI0Ag2K9cyAi44eCaoE.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1213243/video_main.m3u8
Title: Obsession (2026) | Rating: 8.2 | Genres: Horror, Thriller | Poster: https://image.tmdb.org/t/p/w500/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1339713/video_main.m3u8
Title: Pinocchio: Unstrung (2026) | Rating: 6.7 | Genres: Horror, Fantasy, Mystery | Poster: https://image.tmdb.org/t/p/w500/eUJXk3bTvLBi5Zcb0BCedZU7lVL.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1232569/video_main.m3u8
Title: The Whisper Man (2026) | Rating: 6.3 | Genres: Crime, Drama, Thriller | Poster: https://image.tmdb.org/t/p/w500/6UqflU8Qqkz7Dq4swJPqs0ZJjY4.jpg | DirectM3U8: https://movie.streamrip.fun/movies/860508/video_main.m3u8
Title: Rage of Stars (2026) | Rating: 5.6 | Genres: Action, Sci-Fi, Thriller | Poster: https://image.tmdb.org/t/p/w500/oLld47ZT1I3iecM3OWhIphohQUJ.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1323244/video_main.m3u8
Title: Toy Story 5 (2026) | Rating: 8.3 | Genres: Animation, Family, Comedy, Adventure | Poster: https://image.tmdb.org/t/p/w500/sfQtVlIHljToOwYjhe21KPGzZWK.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1084244/video_main.m3u8
Title: Moana (2026) | Rating: 6.1 | Genres: Family, Fantasy, Comedy, Adventure | Poster: https://image.tmdb.org/t/p/w500/zKVgiv5qHCvCLT4A2ymJi5QeXDH.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1108427/video_main.m3u8
Title: Colony (2026) | Rating: 8.1 | Genres: Action, Horror, Sci-Fi | Poster: https://image.tmdb.org/t/p/w500/tN799oUR0f1gUKDYdMNrDaY7I51.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1375646/video_main.m3u8
Title: Minions & Monsters (2026) | Rating: 7.6 | Genres: Adventure, Animation, Comedy, Family, Fantasy | Poster: https://image.tmdb.org/t/p/w500/4LwvU9SZc8QQzW1X1FAPhNbXnEU.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1315772/video_main.m3u8
Title: Coyote vs. Acme (2026) | Rating: 7.8 | Genres: Comedy, Adventure, Family | Poster: https://image.tmdb.org/t/p/w500/vhv7lBWYM0DUuNU2a0V7Rhq21dD.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1204680/video_main.m3u8
Title: Batman: Knightfall Part 1: Knightfall (2026) | Rating: 9.0 | Genres: Animation, Action, Adventure, Sci-Fi, Crime, Drama | Poster: https://image.tmdb.org/t/p/w500/360qdtu2hLnqMu8SVHMywn420w1.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1560520/video_main.m3u8
Title: Ghost in the Cell (2026) | Rating: 7.0 | Genres: Horror, Comedy, Thriller | Poster: https://image.tmdb.org/t/p/w500/zxcMdx0w5Zmg8yZuuiS7CJ8vOea.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1393326/video_main.m3u8
Title: Above & Below (2026) | Rating: 6.2 | Genres: Action, Thriller, Horror, Crime | Poster: https://image.tmdb.org/t/p/w500/7bOuu1SRALGwsG2fLCTvRkCmQBj.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1514682/video_main.m3u8
Title: Rosebush Pruning (2026) | Rating: 6.0 | Genres: Comedy, Drama, Thriller | Poster: https://image.tmdb.org/t/p/w500/tXsTtSgguTsk5J115jokwK55awF.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1130948/video_main.m3u8
Title: Backrooms (2026) | Rating: 7.1 | Genres: Horror, Mystery, Sci-Fi | Poster: https://image.tmdb.org/t/p/w500/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1083381/video_main.m3u8
Title: The Dog Stars (2026) | Rating: 6.7 | Genres: Sci-Fi, Adventure, Thriller | Poster: https://image.tmdb.org/t/p/w500/5O616X9vmRzQdB68PHzBewPittd.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1384216/video_main.m3u8
Title: Disclosure Day (2026) | Rating: 7.5 | Genres: Sci-Fi, Thriller | Poster: https://image.tmdb.org/t/p/w500/AnJ8IQJI23hNpYXVNaythu061Ru.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1275779/video_main.m3u8
Title: The Death of Robin Hood (2026) | Rating: 6.3 | Genres: Adventure, Drama, Action | Poster: https://image.tmdb.org/t/p/w500/13MmRwmG5NmaMfU8qNrtgGXisiD.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1284465/video_main.m3u8
Title: Motor City (2026) | Rating: 6.3 | Genres: Action, Thriller, Crime | Poster: https://image.tmdb.org/t/p/w500/dx2dblJL3GAKcXXXPjC2FSaMTWW.jpg | DirectM3U8: https://movie.streamrip.fun/movies/87513/video_main.m3u8
Title: Project Hail Mary (2026) | Rating: 8.6 | Genres: Sci-Fi, Adventure | Poster: https://image.tmdb.org/t/p/w500/yihdXomYb5kTeSivtFndMy5iDmf.jpg | DirectM3U8: https://movie.streamrip.fun/movies/687163/video_main.m3u8
Title: Bury the Devil (2026) | Rating: 6.3 | Genres: Horror, Thriller | Poster: https://image.tmdb.org/t/p/w500/yQ3GeVsebrhOPIBhIdoSslbndEv.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1432706/video_main.m3u8
Title: Scary Movie (2026) | Rating: 6.4 | Genres: Comedy | Poster: https://image.tmdb.org/t/p/w500/znHT8peERZRWG1ME3r0Db0EV8k8.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1273221/video_main.m3u8
Title: Supergirl (2026) | Rating: 6.7 | Genres: Action, Adventure, Sci-Fi | Poster: https://image.tmdb.org/t/p/w500/uhzRnTW4DM13UQBvZP3eVNzQTuz.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1081003/video_main.m3u8
Title: Lucky Strike (2026) | Rating: 7.0 | Genres: Action, War | Poster: https://image.tmdb.org/t/p/w500/7AEBdyGYXumXWmMFeynE8227KeZ.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1594914/video_main.m3u8
Title: OBEX (2026) | Rating: 6.1 | Genres: Fantasy, Adventure, Horror | Poster: https://image.tmdb.org/t/p/w500/989voQxc9qAJKuBaoBHngqnpLsD.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1212461/video_main.m3u8
Title: Masters of the Universe (2026) | Rating: 7.2 | Genres: Action, Fantasy, Sci-Fi | Poster: https://image.tmdb.org/t/p/w500/oRuyGUHdoaQxWP3SDfafGkStxTC.jpg | DirectM3U8: https://movie.streamrip.fun/movies/454639/video_main.m3u8
Title: Evil Dead Burn (2026) | Rating: 7.8 | Genres: Horror | Poster: https://image.tmdb.org/t/p/w500/uRxrNXQWkHoENm3nwVOZDYSCx2F.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1212763/video_main.m3u8
Title: The Odyssey (2026) | Rating: 4.0 | Genres: Adventure, Fantasy, Action | Poster: https://image.tmdb.org/t/p/w500/b0z3ViIC5AkbJoqxmTpqyjgmoJs.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1698863/video_main.m3u8
Title: The End of Oak Street (2026) | Rating: 6.4 | Genres: Sci-Fi, Mystery, Thriller | Poster: https://image.tmdb.org/t/p/w500/fYXqpgPmHMphSF2W30GbTeJVIa5.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1101383/video_main.m3u8
Title: The Last House (2026) | Rating: 6.9 | Genres: Horror, Sci-Fi, Thriller | Poster: https://image.tmdb.org/t/p/w500/6JU7E8Vv2M11egkctWVOScxWR75.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1284041/video_main.m3u8
Title: Avatar Aang: The Last Airbender (2026) | Rating: 9.2 | Genres: Animation, Action, Adventure, Fantasy | Poster: https://image.tmdb.org/t/p/w500/3sgnSfNT27Bx5O5ukr7B26mhEQq.jpg | DirectM3U8: https://movie.streamrip.fun/movies/980431/video_main.m3u8
Title: Deep Water (2026) | Rating: 7.1 | Genres: Horror, Thriller | Poster: https://image.tmdb.org/t/p/w500/cyI2Ugpq98WZN1GEYeWkn4ztXOc.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1127384/video_main.m3u8
Title: Animals (2026) | Rating: 6.3 | Genres: Comedy, Thriller | Poster: https://image.tmdb.org/t/p/w500/9fbZdiOI9fRinl44mNm3CYgEtYR.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1599993/video_main.m3u8
Title: The Secret Woman (2026) | Rating: 6.3 | Genres: Drama, Thriller, Mystery | Poster: https://image.tmdb.org/t/p/w500/5FC5vUHFz0fbJOd0bhyzJpCSLrc.jpg | DirectM3U8: https://movie.streamrip.fun/movies/1631807/video_main.m3u8
